character,dialogue,episode,line
Motti,"Don't try to frighten us with your sorcerer's ways, Lord Vader.  Your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes, or given you clairvoyance enough to find the Rebel's hidden fort...",4,290
Vader,I find your lack of faith disturbing.,4,291
Tarkin,"Enough of this!  Vader, release him!",4,292
Vader,As you wish.,4,293
Tarkin,This bickering is pointless.  Lord Vader will provide us with the location of the Rebel fortress by the time this station is operational.  We will then crush the Rebellion with one swift stroke.,4,294
Luke,"It looks like Sand People did this, all right.  Look, here are gaffi sticks, bantha tracks.  It's just... I never heard of them hitting anything this big before.",4,295
Ben,They didn't.  But we are meant to think they did.  These tracks are side by side.  Sand People always ride single file to hide there numbers.,4,296
Luke,These are the same Jawas that sold us Artoo and Threepio.,4,297
Ben,"And these blast points, too accurate for Sand People.  Only Imperial stormtroopers are so precise.",4,298
Luke,Why would Imperial troops want to slaughter Jawas?,4,299
Luke,"If they traced the robots here, they may have learned who they sold them to.  And that would lead them back home!",4,300
Ben,"Wait, Luke!  It's too dangerous.",4,301
Luke,Uncle Owen!  Aunt Beru!  Uncle Owen!,4,302
Vader,"And, now Your Highness, we will discuss the location of your hidden Rebel base.",4,303
Ben,"There's nothing you could have done, Luke, had you been there.  You'd have been killed, too, and the droids would now be in the hands of the Empire.",4,304
Luke,I want to come with you to Alderaan.  There's nothing here for me now.  I want to learn the ways of the Force and become a Jedi like my father.,4,305
Ben,Mos Eisley Spaceport.  You will never find a more wretched hive of scum and villainy.  We must be cautious.,4,306
Trooper,How long have you had these droids?,4,307
Luke,About three or four seasons.,4,308
Ben,They're for sale if you want them.,4,309
Trooper,Let me see your identification.,4,310
Ben,You don't need to see his identification.,4,311
Trooper,We don't need to see his identification.,4,312
Ben,looking for.,4,313
Trooper,These are not the droids we're looking for.,4,314
Ben,He can go about his business.,4,315
Trooper,You can go about your business.,4,316
Ben,Move along.,4,317
Trooper,Move along.  Move along.,4,318
Threepio,I can't abide these Jawas.  Disgusting creatures.,4,319
Luke,"Go on, go on.  I can't understand how we got by those troopers.  I thought we were dead.",4,320
Ben,The Force can have a strong influence on the weak-minded.  You will find it a powerful ally.,4,321
Luke,Do you really think we're going to find a pilot here that'll take us to Alderaan?,4,322
Ben,"Well, most of the best freighter pilots can be found here.  Only watch your step.  This place can be a little rough.",4,323
Luke,I'm ready for anything.,4,324
Threepio,"Come along, Artoo.",4,325
